Produtos,Inicial,Final,Premio1,Premio2,Premio3
MOVEIS  / MÓVEIS ESTOFADOS,"20000.01","21000","2400","4200","5040"
MOVEIS  / MÓVEIS ESTOFADOS,"21000.01","22000","2665","4664","5597"
MOVEIS  / MÓVEIS ESTOFADOS,"22000.01","23000","2789","4881","5857"
MOVEIS  / MÓVEIS ESTOFADOS,"23000.01","24000","2902","5079","6094"
MOVEIS  / MÓVEIS ESTOFADOS,"24000.01","25000","3002","5254","6304"
COLCHÃO,"0.01",200,"20","35","42"
COLCHÃO,"200.01",300,"33","57","69"
COLCHÃO,"300.01",400,"45","79","95"
COLCHÃO,"400.01",500,"58","101","122"
COLCHÃO,"500.01",600,"70","122","147"
COLCHÃO,"600.01",700,"82","143","172"
COLCHÃO,"700.01",800,"94","164","197"
COLCHÃO,"800.01",900,"106","185","223"
COLCHÃO,"900.01","1000","117","204","246"
COLCHÃO,"1000.01","1250","137","240","288"
COLCHÃO,"1250.01","1400","160","280","336"
COLCHÃO,"1400.01","1600","180","315","378"
COLCHÃO,"1600.01","1800","202","354","424"
COLCHÃO,"1800.01","2000","225","394","473"
COLCHÃO,"2000.01","2200","247","431","519"
COLCHÃO,"2200.01","2400","267","467","561"
COLCHÃO,"2400.01","2600","289","505","607"
COLCHÃO,"2600.01","2800","312","545","655"
COLCHÃO,"2800.01","3000","331","580","695"
COLCHÃO,"3000.01","3500","370","646","777"
COLCHÃO,"3500.01","4000","424","741","890"
COLCHÃO,"4000.01","5000","471","824","989"
COLCHÃO,"5000.01","6000","522","914","1096"
COLCHÃO,"6000.01","7000","580","1015","1218"
